                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.78176,                0.55515,                0.99286,                0.51585,                0.47953,                0.40463,                0.32117,                 1.2835,                 1.7174,                  1.299,             0.00016509,             0.00016509,             0.00016509
                     88,                0.71102,                0.50067,                0.98663,                0.51434,                0.47964,                0.37956,                0.30257,                 1.2648,                 1.7365,                 1.2946,              0.0001541,              0.0001541,              0.0001541
                     89,                0.89241,                 0.6289,                 1.1855,                0.50797,                0.48163,                0.38959,                0.30335,                 1.2532,                 1.6928,                 1.2762,              0.0001431,              0.0001431,              0.0001431
                     90,                0.80545,                 1.0561,                 1.0416,                0.49079,                0.49665,                0.38972,                0.31036,                 1.2322,                 1.6832,                  1.263,              0.0001321,              0.0001321,              0.0001321
                     91,                0.67469,                0.44608,                0.91383,                0.48887,                0.49665,                0.39525,                 0.3209,                 1.1935,                 1.6249,                 1.2566,              0.0001211,              0.0001211,              0.0001211
                     92,                0.69582,                0.47849,                0.93112,                0.49013,                0.49665,                0.39083,                0.31767,                 1.1762,                 1.6102,                 1.2508,              0.0001101,              0.0001101,              0.0001101
                     93,                0.77379,                  0.928,                 1.0062,                0.48959,                0.49665,                0.38554,                0.31588,                 1.1952,                 1.6584,                 1.2585,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.76449,                0.52955,                 1.0534,                0.48834,                0.49665,                0.38514,                0.32236,                 1.1527,                 1.6113,                 1.2407,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.79646,                0.55967,                0.92988,                0.48775,                0.49665,                  0.386,                0.31705,                 1.1567,                  1.576,                  1.237,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.68417,                0.58251,                0.94062,                0.48756,                0.49665,                 0.3892,                0.31988,                 1.1827,                 1.6118,                 1.2452,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.88253,                 1.1563,                 1.2557,                0.48703,                0.49665,                 0.3899,                0.31799,                 1.1695,                 1.6122,                  1.246,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 1.0509,                0.96155,                  1.494,                0.48711,                0.49665,                0.39042,                  0.322,                 1.1813,                 1.6415,                 1.2527,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.71168,                0.58785,                0.98709,                0.48689,                0.49665,                 0.3857,                0.31823,                 1.1823,                  1.649,                 1.2505,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                 0.6433,                0.40349,                0.87484,                0.48725,                0.49665,                0.38695,                0.31722,                  1.184,                 1.6515,                 1.2448,             2.2109e-05,             2.2109e-05,             2.2109e-05
